Trial_num,Partner,risky_gain,risky_loss,alt_certain,task_gamble_outcome,task_gamble_amount,ISI_s,ITI_s,block
1,0,$4.00 ,($7.00),$0.00 ,won,$4.00 ,1.5,1.5,1
2,0,$2.00 ,($3.75),$0.00 ,lost,($3.75),1.5,1.5,1
3,0,$8.00 ,($1.33),$0.00 ,lost,($1.33),5,1.5,1
4,0,$5.00 ,($3.13),$0.00 ,lost,($3.13),5,3,1
5,0,$8.00 ,($11.00),$0.00 ,won,$8.00 ,1.5,1.5,1
6,0,$4.00 ,($0.67),$0.00 ,lost,($0.67),5,3,1
7,0,$2.00 ,($0.75),$0.00 ,lost,($0.75),3,1.5,1
8,0,$7.00 ,$0.00 ,$3.00 ,lost,$0.00 ,1.5,5,1
9,0,$12.00 ,($21.00),$0.00 ,won,$12.00 ,1.5,3,1
10,0,$12.00 ,($3.00),$0.00 ,won,$12.00 ,1.5,7,1
11,0,$8.00 ,($5.00),$0.00 ,lost,($5.00),5,5,1
12,0,$9.00 ,($4.50),$0.00 ,won,$9.00 ,3,5,1
13,0,$8.00 ,($3.00),$0.00 ,lost,($3.00),3,1.5,1
14,0,$12.00 ,($9.00),$0.00 ,won,$12.00 ,3,3,1
15,0,$5.00 ,$0.00 ,$2.00 ,lost,$0.00 ,1.5,5,1
16,0,$28.00 ,$0.00 ,$13.00 ,lost,$0.00 ,1.5,1.5,1
17,0,$4.00 ,($5.00),$0.00 ,won,$4.00 ,1.5,1.5,1
18,0,$10.00 ,($8.75),$0.00 ,lost,($8.75),1.5,5,1
19,0,$13.00 ,$0.00 ,$6.00 ,lost,$0.00 ,3,1.5,1
20,0,$4.00 ,($6.00),$0.00 ,lost,($6.00),3,3,1
21,0,$5.00 ,($5.00),$0.00 ,won,$5.00 ,5,7,1
22,0,$25.00 ,$0.00 ,$6.25 ,won,$25.00 ,3,3,1
23,0,$2.00 ,($1.75),$0.00 ,won,$2.00 ,1.5,1.5,1
24,0,$6.00 ,($7.50),$0.00 ,won,$6.00 ,1.5,1.5,1
25,0,$7.00 ,$0.00 ,$4.00 ,won,$7.00 ,1.5,7,1
26,0,$19.00 ,$0.00 ,$8.00 ,won,$19.00 ,1.5,5,1
27,0,$3.25 ,$0.00 ,$1.00 ,won,$3.25 ,5,7,1
28,0,$8.00 ,($7.00),$0.00 ,lost,($7.00),1.5,3,1
29,0,$11.00 ,$0.00 ,$6.00 ,lost,$0.00 ,1.5,3,1
30,0,$4.00 ,($2.00),$0.00 ,won,$4.00 ,1.5,1.5,1
31,0,$10.00 ,$0.00 ,$6.00 ,lost,$0.00 ,3,1.5,1
32,0,$22.00 ,$0.00 ,$13.00 ,won,$22.00 ,1.5,1.5,1
33,0,$4.00 ,($0.33),$0.00 ,won,$4.00 ,5,1.5,2
34,0,$17.00 ,$0.00 ,$10.00 ,lost,$0.00 ,1.5,5,2
35,0,$26.00 ,$0.00 ,$10.00 ,won,$26.00 ,1.5,3,2
36,0,$5.00 ,($8.13),$0.00 ,won,$5.00 ,5,1.5,2
37,0,$2.00 ,($3.25),$0.00 ,lost,($3.25),1.5,1.5,2
38,0,$5.00 ,($2.50),$0.00 ,won,$5.00 ,3,1.5,2
39,0,$6.00 ,($12.00),$0.00 ,won,$6.00 ,3,5,2
40,0,$8.00 ,($13.00),$0.00 ,lost,($13.00),1.5,3,2
41,0,$6.00 ,($1.50),$0.00 ,won,$6.00 ,5,1.5,2
42,0,$22.00 ,$0.00 ,$10.00 ,lost,$0.00 ,1.5,7,2
43,0,$10.00 ,$0.00 ,$1.90 ,won,$10.00 ,3,3,2
44,0,$5.00 ,($5.63),$0.00 ,won,$5.00 ,1.5,5,2
45,0,$4.00 ,($1.00),$0.00 ,lost,($1.00),3,1.5,2
46,0,$13.00 ,$0.00 ,$5.00 ,lost,$0.00 ,1.5,3,2
47,0,$10.00 ,($0.42),$0.00 ,won,$10.00 ,1.5,1.5,2
48,0,$10.00 ,($16.25),$0.00 ,won,$10.00 ,1.5,7,2
49,0,$8.00 ,$0.00 ,$4.25 ,lost,$0.00 ,5,1.5,2
50,0,$8.00 ,($9.00),$0.00 ,lost,($9.00),3,1.5,2
51,0,$6.00 ,($3.00),$0.00 ,lost,($3.00),1.5,7,2
52,0,$6.00 ,($4.50),$0.00 ,won,$6.00 ,3,1.5,2
53,0,$2.00 ,($2.25),$0.00 ,won,$2.00 ,1.5,7,2
54,0,$10.00 ,($3.75),$0.00 ,lost,($3.75),1.5,1.5,2
55,0,$4.00 ,($4.00),$0.00 ,lost,($4.00),3,3,2
56,0,$12.00 ,($24.00),$0.00 ,lost,($24.00),3,3,2
57,0,$12.00 ,($12.00),$0.00 ,lost,($12.00),5,1.5,2
58,0,$12.00 ,$0.00 ,$5.00 ,won,$12.00 ,1.5,5,2
59,0,$5.00 ,$0.00 ,$3.00 ,won,$5.00 ,1.5,5,2
60,0,$30.00 ,$0.00 ,$12.00 ,lost,$0.00 ,1.5,5,2
61,0,$4.00 ,$0.00 ,$2.00 ,won,$4.00 ,1.5,3,2
62,0,$2.00 ,($2.75),$0.00 ,lost,($2.75),1.5,1.5,2
63,0,$12.00 ,($15.00),$0.00 ,won,$12.00 ,1.5,3,2
64,0,$24.00 ,$0.00 ,$12.00 ,lost,$0.00 ,5,1.5,2
65,0,$4.00 ,($0.33),$0.00 ,won,$4.00 ,1.5,3,3
66,0,$17.00 ,$0.00 ,$10.00 ,won,$17.00 ,3,1.5,3
67,0,$26.00 ,$0.00 ,$10.00 ,lost,$0.00 ,5,7,3
68,0,$5.00 ,($8.13),$0.00 ,won,$5.00 ,1.5,3,3
69,0,$2.00 ,($3.25),$0.00 ,lost,($3.25),1.5,3,3
70,0,$5.00 ,($2.50),$0.00 ,lost,($2.50),1.5,5,3
71,0,$6.00 ,($12.00),$0.00 ,lost,($12.00),1.5,3,3
72,0,$8.00 ,($13.00),$0.00 ,lost,($13.00),3,5,3
73,0,$6.00 ,($1.50),$0.00 ,lost,($1.50),5,1.5,3
74,0,$22.00 ,$0.00 ,$10.00 ,lost,$0.00 ,1.5,7,3
75,0,$10.00 ,$0.00 ,$1.90 ,won,$10.00 ,1.5,1.5,3
76,0,$5.00 ,($5.63),$0.00 ,lost,($5.63),5,1.5,3
77,0,$4.00 ,($1.00),$0.00 ,won,$4.00 ,3,1.5,3
78,0,$13.00 ,$0.00 ,$5.00 ,won,$13.00 ,1.5,1.5,3
79,0,$10.00 ,($0.42),$0.00 ,won,$10.00 ,1.5,1.5,3
80,0,$10.00 ,($16.25),$0.00 ,won,$10.00 ,3,7,3
81,0,$8.00 ,$0.00 ,$4.25 ,lost,$0.00 ,3,3,3
82,0,$8.00 ,($9.00),$0.00 ,lost,($9.00),3,3,3
83,0,$6.00 ,($3.00),$0.00 ,lost,($3.00),1.5,1.5,3
84,0,$6.00 ,($4.50),$0.00 ,won,$6.00 ,1.5,5,3
85,0,$2.00 ,($2.25),$0.00 ,won,$2.00 ,1.5,1.5,3
86,0,$10.00 ,($3.75),$0.00 ,won,$10.00 ,3,1.5,3
87,0,$4.00 ,($4.00),$0.00 ,won,$4.00 ,5,7,3
88,0,$12.00 ,($24.00),$0.00 ,lost,($24.00),3,3,3
89,0,$12.00 ,($12.00),$0.00 ,won,$12.00 ,5,1.5,3
90,0,$12.00 ,$0.00 ,$5.00 ,lost,$0.00 ,1.5,1.5,3
91,0,$5.00 ,$0.00 ,$3.00 ,won,$5.00 ,1.5,5,3
92,0,$30.00 ,$0.00 ,$12.00 ,lost,$0.00 ,1.5,1.5,3
93,0,$4.00 ,$0.00 ,$2.00 ,lost,$0.00 ,1.5,5,3
94,0,$2.00 ,($2.75),$0.00 ,lost,($2.75),5,1.5,3
95,0,$12.00 ,($15.00),$0.00 ,won,$12.00 ,1.5,3,3
96,0,$24.00 ,$0.00 ,$12.00 ,won,$24.00 ,1.5,5,3
